club,club_id,club_url,player_count,represented_countries,total_market_value_eur,player_count_rank
Kasimpasa,10484,https://www.transfermarkt.com/kasimpasa/startseite/verein/10484,3,2,8500000,106
Chicago Fire FC,432,https://www.transfermarkt.com/chicago-fire-fc/startseite/verein/432,3,3,8000000,106
Caykur Rizespor,126,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126,3,3,7700000,106
AC Sparta Prague,197,https://www.transfermarkt.com/ac-sparta-prag/startseite/verein/197,3,1,6800000,106
New York City FC,40058,https://www.transfermarkt.com/new-york-city-fc/startseite/verein/40058,3,2,6800000,106
Le Havre AC,738,https://www.transfermarkt.com/ac-le-havre/startseite/verein/738,3,3,6300000,106
Swansea City,2288,https://www.transfermarkt.com/swansea-city/startseite/verein/2288,3,3,6300000,106
Heart of Midlothian FC,43,https://www.transfermarkt.com/heart-of-midlothian-fc/startseite/verein/43,3,2,5025000,106
Pafos FC,45457,https://www.transfermarkt.com/pafos-fc/startseite/verein/45457,3,3,3800000,106
Zamalek SC,664,https://www.transfermarkt.com/zamalek-sc/startseite/verein/664,3,1,3150000,106
Toronto FC,11141,https://www.transfermarkt.com/toronto-fc/startseite/verein/11141,3,2,2800000,106
Jeonbuk Hyundai Motors,6502,https://www.transfermarkt.com/jeonbuk-hyundai-motors/startseite/verein/6502,3,1,2750000,106
Minnesota United FC,56089,https://www.transfermarkt.com/minnesota-united-fc/startseite/verein/56089,3,3,2250000,106
Sepahan FC,4947,https://www.transfermarkt.com/sepahan-fc/startseite/verein/4947,3,1,2250000,106
PEC Zwolle,1269,https://www.transfermarkt.com/pec-zwolle/startseite/verein/1269,3,3,2100000,106
Neftchi Fergana,13306,https://www.transfermarkt.com/neftchi-fergana/startseite/verein/13306,3,1,1725000,106
Melbourne City FC,25580,https://www.transfermarkt.com/melbourne-city-fc/startseite/verein/25580,3,1,1550000,106
Wellington Phoenix,8445,https://www.transfermarkt.com/wellington-phoenix/startseite/verein/8445,3,1,1450000,106
Al-Karma,103329,https://www.transfermarkt.com/al-karma/startseite/verein/103329,3,2,1300000,106
Al-Gharafa SC,6297,https://www.transfermarkt.com/al-gharafa-sc/startseite/verein/6297,3,1,1075000,106
Al-Talaba SC,21726,https://www.transfermarkt.com/al-talaba-sc/startseite/verein/21726,3,1,1075000,106
Al-Faisaly SC,13592,https://www.transfermarkt.com/al-faisaly-amman/startseite/verein/13592,3,1,800000,106
